"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_012 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de naissance (rico:birthDate)","Date de décès (rico:deathDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_012-d699mu08av0--6yed75pyu3ah","d699mu08av0--6yed75pyu3ah","Person","Capelle, Jean (1909-1983)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2vryd-1bkpvy5dkcngc","d699mu2vryd-1bkpvy5dkcngc","Person","Capet, Nicolas (1686-1730)",,,,,,,,"012655",
"agent/FRAN_RI_012-d3m0bn4nphh-wde5u6pxz362","d3m0bn4nphh-wde5u6pxz362","Person","Capitaine, Louis (1749-1797)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6l6m6-nm6nbu30ga3j","d699mu6l6m6-nm6nbu30ga3j","Person","Capranica del Grillo, Julien (1824-1892)",,,,,,,,,
"agent/FRAN_RI_012-d-67kc7yiatd2-10z82mlzgohzr","d-67kc7yiatd2-10z82mlzgohzr","Person","Carcone, Anna",,,,,,,,,
"agent/FRAN_RI_012-d699mu30u6s--1ijirbm3jhxjb","d699mu30u6s--1ijirbm3jhxjb","Person","Cardevac d'Avrincourt, Charles Gabriel Dominique de (1722-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4zedg-4t9zhhw91fh8","d699mu4zedg-4t9zhhw91fh8","Person","Carignan, Emmanuel Philibert Amédée de Savoie (1630-1709 , prince de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1d5t2--1wk2u873fhbtt","d699mu1d5t2--1wk2u873fhbtt","Person","Carignan, Louis Victor de Savoie (1721-1778 , prince de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2ls8n-7oi2pcgk322m","d699mu2ls8n-7oi2pcgk322m","Person","Carignan, Victor Amédée de Savoie (1690-1741 , prince de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0wwod--z79xp758ea3o","d699mu0wwod--z79xp758ea3o","Person","Carignon, Alain (1949-....)",,,,,,,,,
"agent/FRAN_RI_012-d-p23p5qtya3-nsk2i5fydnxh","d-p23p5qtya3-nsk2i5fydnxh","Person","Caristie, Auguste (1781-1862)","Caristie, Auguste-Nicolas","1781-12-06","1862-12-05","Architecte. - Membre de la Commision des monuments historiques et membre de l'Académie des beaux-arts","0000000116458639",,,,
"agent/FRAN_RI_012-d699mtzx368--llcah63z0gpt","d699mtzx368--llcah63z0gpt","Person","Carlos (1949-....)","Ramírez Sánchez, Illitch (1949-....)",,,,,,,,
"agent/FRAN_RI_012-d699mu3ye31-1jex5osmvjzv8","d699mu3ye31-1jex5osmvjzv8","Person","Carny, Jean Antoine (1751-1830)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1b7ag-e47rfhxkcp08","d699mu1b7ag-e47rfhxkcp08","Person","Caroillon des Tillières, Claude Xavier (1748-1811)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3r3tp--my78abozpr0z","d699mu3r3tp--my78abozpr0z","Person","Caroillon de Vandeul, Abel François Nicolas (1746-1813)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvrbpi-5ihn5h209y9f","d-dv4qvrbpi-5ihn5h209y9f","Person","Carpente, Jean",,,,"A œuvré à la restauration de la cathédrale de Carcassonne.",,,,,
"agent/FRAN_RI_012-d699mu6drzz--1vo8y91vf4566","d699mu6drzz--1vo8y91vf4566","Person","Carpentier, Jules Adrien Marie Louis (1851-1921)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1vz8q--jfxramx9uay3","d699mu1vz8q--jfxramx9uay3","Person","Carraz, Roland (1943-1999)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzf8zu-14n371d7655q3","d699mtzf8zu-14n371d7655q3","Person","Carrel, Alexis (1873-1944)",,,,,,,,,
"agent/FRAN_RI_012-d-b225w08sg1--186g1dxeigxwb","d-b225w08sg1--186g1dxeigxwb","Person","Carrerot, Marguerite Thérèse",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvrhqs-1sdc6f1jp04mp","d-dv4qvrhqs-1sdc6f1jp04mp","Person","Carriat, Théodore (....-1865)",,,"1865-01-01","Décédé en 1865. Architecte diocésain. Architecte du département du Cantal. A œuvré à la restauration de la cathédrale de Saint-Flour.",,"Q21559147",,,
"agent/FRAN_RI_012-d-8hn9iv1td-172it2zzy3nvg","d-8hn9iv1td-172it2zzy3nvg","Person","Carroll, Lewis (1832-1898)","Dodgson, Charles Lutwidge (1832-1898) | Holiday, Henry (1832-1898) pseudonyme","1832-01-27","1898-01-14","Lewis Carroll (de son vrai nom Charles Lutwidge Dodgson) est un romancier, essayiste, photographe et mathématicien britannique né le 27 janvier 1832 à Daresbury, dans le Cheshire et mort le 14 janvier 1898 à Guildford.",,,,,
"agent/FRAN_RI_012-d699mtzkxex-1l7ovc54psbrx","d699mtzkxex-1l7ovc54psbrx","Person","Cartaud, Jean-Silvain (1675-1758)",,,,,,,,,
"agent/FRAN_RI_012-d699mu22lc3--xmuk4vl9lepe","d699mu22lc3--xmuk4vl9lepe","Person","Cartier-Bresson, Henri (1908-2004)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4szt3-18tiqd596vaa0","d699mu4szt3-18tiqd596vaa0","Person","Carton, Florent (1661-1725)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3wvew-196ninlepqhw5","d699mu3wvew-196ninlepqhw5","Person","Casanova, Danielle (1909-1943)","Perini, Vincentella (1909-1943)",,,,,,,,
"agent/FRAN_RI_012-d699mu6ivf6-1d96w2njm0q7u","d699mu6ivf6-1d96w2njm0q7u","Person","Casaubon, Isaac (1559-1614)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1bef6-r9gtbp6kp2tz","d699mu1bef6-r9gtbp6kp2tz","Person","Cassandre, François (16.. ?-1695)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn4ooqq-ni6abi03ce9j","d3m0bn4ooqq-ni6abi03ce9j","Person","Cassini de Thury, César-François (1714-1784)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2x4ok--1klfxs1it3rnq","d699mu2x4ok--1klfxs1it3rnq","Person","Castanier, François (1674-1759)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzcfku-1v86sv5dp6x0h","d699mtzcfku-1v86sv5dp6x0h","Person","Castanier d'Auriac, Guillaume (1670-1725)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2y5ix--197oqsdgqfpdb","d699mu2y5ix--197oqsdgqfpdb","Person","Castanier d'Auriac, Guillaume (1702-1765)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4dahi-1822pq1qxfe2j","d699mu4dahi-1822pq1qxfe2j","Person","Castellane, André Joseph Marie Gaspard de (1758-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu02099--1p9wii477e9i8","d699mu02099--1p9wii477e9i8","Person","Castelnau, Marie Charlotte de (1648-1694)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1tr7u--tqwvv28ix29t","d699mu1tr7u--tqwvv28ix29t","Person","Castille, Marie-Madeleine de (1636-1716)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3b3es--8okr74j0bkk8","d699mu3b3es--8okr74j0bkk8","Person","Catala, Nicole (1936-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3ixvg--16n0l1nqu3j34","d699mu3ixvg--16n0l1nqu3j34","Person","Cathala, E.-D.-L. (1766-1835)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1016q-axxxbk1ky4e7","d699mu1016q-axxxbk1ky4e7","Person","Cathala, Laurent (1945-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu42fh3--1llwm4k24grmr","d699mu42fh3--1llwm4k24grmr","Person","Catherine de Médicis (reine de France , 1519-1589)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6kig7-i4ef7hfd23ma","d699mu6kig7-i4ef7hfd23ma","Person","Catherine II (impératrice de Russie , 1729-1796)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvs244-12e9duxwm2wss","d-dv4qvs244-12e9duxwm2wss","Person","Catoire, Jean Baptiste Louis (1806-1864)",,"1806-01-01","1864-11-20","Né le 01/01/1806 à Paris. Décédé le 20/11/1864 à Périgueux. Architecte du département de la Dordogne. A œuvré à la restauration de la cathédrale de Périgueux.",,"Q21559146",,,
"agent/FRAN_RI_012-d-dv4qvs7rt-1b7kade04nbwi","d-dv4qvs7rt-1b7kade04nbwi","Person","Caudron (1851-....)",,"1851-11-06",,"Né le 11/06/1851. A œuvré à la restauration de la cathédrale de Paris.",,,,,
"agent/FRAN_RI_012-d699mu1vmym-13wip5fk5c09n","d699mu1vmym-13wip5fk5c09n","Person","Caumartin, Louis Urbain Lefèvre (1653-1720)",,,,,,,,,
"agent/FRAN_RI_012-d699mu45i05--pb7rxqihkkp","d699mu45i05--pb7rxqihkkp","Person","Caumont-Lauzun, Diane Charlotte Nompar de (1632-1720)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1zcv4-1a2j2ttr6s7om","d699mu1zcv4-1a2j2ttr6s7om","Person","Cavaillé, Marcel (1927-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6igri--1b3qh0s82ycb7","d699mu6igri--1b3qh0s82ycb7","Person","Cazes, Pierre Jacques (1676-1754)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3hrhg--5dnfwjjs3yax","d699mu3hrhg--5dnfwjjs3yax","Person","Cellard, André (1921-1999)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5ja8j-px0mazcgki7n","d699mu5ja8j-px0mazcgki7n","Person","Cellerier, Jacques (1742-1814)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0qtzv--u61u3psss67u","d699mu0qtzv--u61u3psss67u","Person","Chaban-Delmas, Jacques (1915-2000)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1ec72--1wlmx4umwdz49","d699mu1ec72--1wlmx4umwdz49","Person","Chabannes, Gilbert Blaise de (1712-1779)",,,,,,,,,
"agent/FRAN_RI_012-d699mu60q5h--v8njjpjv7g33","d699mu60q5h--v8njjpjv7g33","Person","Chabannes, Jacques Charles de (1737-1780)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvsg2l--1uhptzi4d6q3r","d-dv4qvsg2l--1uhptzi4d6q3r","Person","Chabord, Joseph François Paul (1767-1830)",,"1814-06-04","1830-09-26","Né le 06/04/1814 à Chambéry. Décédé le 26/09/1830. Architecte du département de la Drôme, ingénieur des Ponts et ChausséesBiographie sur Gallica : http://gallica.bnf.fr/ark:/12148/bpt6k4872958/f50.image.r=Joseph%20Fran%C3%A7ois%20Paul%20CHABORD.langFR A œuvré à la restauration de la cathédrale de Valence.",,,,,
"agent/FRAN_RI_012-d-dv4qvskz5-1xyt5wu8q59uv","d-dv4qvskz5-1xyt5wu8q59uv","Person","Chaboux, Anthelme (1855-....)",,"1855-01-07",,"Né le 01/07/1855. Architecte municipal de Belley. A œuvré à la restauration de la cathédrale de Belley.",,,,,
"agent/FRAN_RI_012-d-dv4qvspvo-7w8llxqam1qc","d-dv4qvspvo-7w8llxqam1qc","Person","Chabrol, Pierre (1812-1875)",,"1812-01-02","1875-09-03","Né le 01/02/1812 à Limoges. Décédé le 09/03/1875 à Palais-Royal. Architecte diocésain. A œuvré à la restauration des cathédrales de Limoges, Tulle.",,"Q3386689","https://fr.wikipedia.org/wiki/Pierre_Prosper_Chabrol",,
"agent/FRAN_RI_012-d-dv4qvsus8-n90pceu3abe8","d-dv4qvsus8-n90pceu3abe8","Person","Chaine, Henri (1847-1919)",,"1847-12-27","1919-02-04","Né le 27/12/1847 à Barcelone. Décédé le 02/04/1919 à Paris. Architecte du gouvernement des monuments historiques. A œuvré à la restauration des cathédrales de Beauvais, Clermont-Ferrand, Le Puy, Luçon, Meaux.","0000000439660022","Q26690111",,,"https://data.bnf.fr/ark:/12148/cb108894594#about"
"agent/FRAN_RI_012-d699mu2c4t2-1wj4gmpyc93q9","d699mu2c4t2-1wj4gmpyc93q9","Person","Chalandon, Albin (1920-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4b9zl--1s8zc2pked64f","d699mu4b9zl--1s8zc2pked64f","Person","Chalgrin, Jean-François-Thérèse (1739-1811)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1kp6e--1edjgqbddxvtk","d699mu1kp6e--1edjgqbddxvtk","Person","Challe, Maurice (1905-1979)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn39y37-g0tvehx3j7jb","d3m0bn39y37-g0tvehx3j7jb","Person","Chalmandrier, Nicolas (17..-178?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2811e-hi7vdp8cdyha","d699mu2811e-hi7vdp8cdyha","Person","Chamant, Jean (1913-2010)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvt1y9--15wpvrotzgdlv","d-dv4qvt1y9--15wpvrotzgdlv","Person","Chambert, Jean Paulin Élizabeth Edmond (1811-1881)",,"1844-07-16","1881-01-01","Né le 16/07/1844 à Toulouse. Décédé en 1881. Architecte diocésain. Architecte du département de Haute-Garonne. Voir l'article de Frédéric Barbier, "" Mont-Oriol aux Pyrénées : Charles-Laurent Tron et Bagnères-de-Luchon (1817-1881)"" : http://www.persee.fr/doc/anami_0003-4398_1994_num_106_206_2409 A œuvré à la restauration de la cathédrale de Toulouse.",,,,,
"agent/FRAN_RI_012-d699mu69yj4-h6ma8zj5p54v","d699mu69yj4-h6ma8zj5p54v","Person","Chamois, Charles (1610-1684)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvt78d--19m16nkz55svp","d-dv4qvt78d--19m16nkz55svp","Person","Champagne, Jean Sargines (1795-1855)",,"1795-11-17","1855-01-01","Né le 17/11/1795 à Carcassonne. Décédé en 1855. Architecte du département de l'Aude. A œuvré à la restauration de la cathédrale de Carcassonne.",,"Q26202582",,,
"agent/FRAN_RI_012-d699mtzwoij-fajbaaimbb0c","d699mtzwoij-fajbaaimbb0c","Person","Champagne, Louis de (15..-1636)",,,,,,,,,
"agent/FRAN_RI_012-d699mu69ebs--ukzr8gd2hvfv","d699mu69ebs--ukzr8gd2hvfv","Person","Champaigne, Philippe de (1602-1674)",,,,,,,,,
"agent/FRAN_RI_012-d-32j6ruritlf--gni8u0jtilo0","d-32j6ruritlf--gni8u0jtilo0","Person","Champion, Étienne Jean Charles comte de Nansouty",,,,,,,,,
"agent/FRAN_RI_012-d699mu6frpd--tlg8xm6fz1c7","d699mu6frpd--tlg8xm6fz1c7","Person","Champlain, Samuel de (1567 ?-1635)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5rsv5--x344encmd7fp","d699mu5rsv5--x344encmd7fp","Person","Champmeslé, Marie de (1642-1698)","Desmares, Marie (1642-1698)",,,,,,,,
"agent/FRAN_RI_012-d699mu43s7b--ylkdgo0l3ban","d699mu43s7b--ylkdgo0l3ban","Person","Champmeslé (1642-1701)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5hgh2-j79kh5su9dxn","d699mu5hgh2-j79kh5su9dxn","Person","Champollion, Jean-François (1790-1832)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5oba6--1xpjwrocym9wb","d699mu5oba6--1xpjwrocym9wb","Person","Chamson, André (1900-1983)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvtmp5-n6txvqwh40qg","d-dv4qvtmp5-n6txvqwh40qg","Person","Chancel, Adrien (1853-1901)",,"1853-09-02","1901-04-03","Né le 09/02/1853 à Paris. Décédé le 04/03/1901 à Perpignan. Architecte diocésain. A œuvré à la restauration de la cathédrale d'Auch.",,"Q21558231",,,
"agent/FRAN_RI_012-d3m0bn4xc48-n3xe2f0mc57y","d3m0bn4xc48-n3xe2f0mc57y","Person","Chanlaire, Pierre Grégoire (1758-1817)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzubqi-15dywxr8qp083","d699mtzubqi-15dywxr8qp083","Person","Chanlecy, Anne Charlotte de (1624-1693)",,,,,,,,,
"agent/FRAN_RI_012-d699mu58qpq-18x6mwerjp9y1","d699mu58qpq-18x6mwerjp9y1","Person","Chapelain Du Brosseron, Charlotte Eugénie Virginie (....-1849)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1p96s--13621u71noiqm","d699mu1p96s--13621u71noiqm","Person","Chapelle, Marie-Madeleine (1782-1849)",,,,,,,,,
"agent/FRAN_RI_012-d699mu54ld1--mwwuj6hwszrk","d699mu54ld1--mwwuj6hwszrk","Person","Chapuis, Robert (1933-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu46664--1lhalemn7zm4s","d699mu46664--1lhalemn7zm4s","Person","Charbonnel, Jean (1927-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5ffz5-1cnxtwhfu7rsz","d699mu5ffz5-1cnxtwhfu7rsz","Person","Charette, Hervé de (1938-....)",,,,,,,,,
"agent/FRAN_RI_012-d-6k1uyk3xf-14cdsd7gn0tm2","d-6k1uyk3xf-14cdsd7gn0tm2","Person","Charier, Camille (1859-1935)",,"1859-01-01","1905-12-18","Libraire-éditeur à Saumur, Maine-et-Loire. - Secrétaire général de la Société des lettres, sciences, et arts du Saumurois.",,,,,
"agent/FRAN_RI_012-d699mu4mpzv--15909iu3e72kx","d699mu4mpzv--15909iu3e72kx","Person","Charles (prince , 1684-1753)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6jtvy-19n2ju4leswkd","d699mu6jtvy-19n2ju4leswkd","Person","Charles de Nevers (duc de Mantoue et du Monferrat , 1580-1637)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3c5fx-1a8855uv8w3tv","d699mu3c5fx-1a8855uv8w3tv","Person","Charles-Emmanuel (roi de Sardaigne , 1701-1773)",,,,,,,,,
"agent/FRAN_RI_012-d699mu28jnp--54nh8h41vg4n","d699mu28jnp--54nh8h41vg4n","Person","Charles-Emmanuel I (duc de Savoie , 1562-1630)",,,,,,,,,
"agent/FRAN_RI_012-d-312vkg9jcrp--g6gy6gugoq1o","d-312vkg9jcrp--g6gy6gugoq1o","Person","Charles II (roi d'Angleterre , 1630-1685)",,,,,,,,,
"agent/FRAN_RI_012-d-2ofms8bptdj--zcxoy7aprk9r","d-2ofms8bptdj--zcxoy7aprk9r","Person","Charles II (roi d'Angleterre ; 1630-1685)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3qm9b--xylpf1pjwdax","d3m0bn3qm9b--xylpf1pjwdax","Person","Charles III (roi d'Espagne , 1716-1788)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn34zfa-1tlrfn798tw3j","d3m0bn34zfa-1tlrfn798tw3j","Person","Charles IX (roi de France , 1550-1574)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0rtnf-h4cgymy63spe","d699mu0rtnf-h4cgymy63spe","Person","Charles X (roi de France , 1757-1836)",,,,,,,,,
"agent/FRAN_RI_012-d699mu37jg8-10odutixkds9h","d699mu37jg8-10odutixkds9h","Person","Charles XIV (roi de Suède et de Norvège , 1763-1844)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1o0tg-aeytk0nu9368","d699mu1o0tg-aeytk0nu9368","Person","Charles XV (roi de Suède et de Norvège , 1826-1872)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2xmwm-1l93lot5yh94p","d699mu2xmwm-1l93lot5yh94p","Person","Charolais, Louise Anne de Bourbon (1695-1758 , mademoiselle de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2m44i--1jmbr3a6dss39","d699mu2m44i--1jmbr3a6dss39","Person","Charpentier de Cassigny, Jean François (1690-1780)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvu0nm--14aljgs6tqkoc","d-dv4qvu0nm--14aljgs6tqkoc","Person","Charrier, Marius Henri (1812-1890)",,"1812-01-25","1890-12-15","Né le 25/01/1812 à Noirmoutier. Décédé le 15/12/1890 à Vannes. Architecte diocésain. A œuvré à la restauration des cathédrales de Luçon, Vannes.",,"Q21558235",,,
"agent/FRAN_RI_012-d699mu02eio-1b4p919p1sjq2","d699mu02eio-1b4p919p1sjq2","Person","Charron de Ménars, Madeleine Elisabeth Françoise (16..-1706)",,,,,,,,,
"agent/FRAN_RI_012-d-lnai8f0j-19thfuerrznrp","d-lnai8f0j-19thfuerrznrp","Person","Chartres, Robert d'Orléans (1840-1910 , duc de)","Chartres, Duc de (1840-1910) | Orléans, Robert d' (1840-1910)","1840-11-09","1910-12-05","Second fils du duc d'Orléans et de la princesse Hélène. - Prit part à la Guerre de Sécession, servit dans l'armée de Chanzy en 1870 sous le nom de ""Robert le Fort"".",,,,"052737",
"agent/FRAN_RI_012-d699mu6oolf-3cje3ajkb35f","d699mu6oolf-3cje3ajkb35f","Person","Chaspoux de Verneuil, Jacques (16..-1707 ?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu27ch6--kknf9a1shyrl","d699mu27ch6--kknf9a1shyrl","Person","Chaspoux de Verneuil, Marie-Madeleine de (16..-1718)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6hslj-dcobb64qur24","d699mu6hslj-dcobb64qur24","Person","Chasteigner, Jeanne de (1539-1622)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2dh50-1kabokf607r1f","d699mu2dh50-1kabokf607r1f","Person","Chateaubriand, François René de (1768-1848)",,,,,,,,,
"agent/FRAN_RI_012-d-37jfyaeycc-jn6f3f9c70eq","d-37jfyaeycc-jn6f3f9c70eq","Person","Châtelain, Charles (1802-1873)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3616d-1w6h2ydzt9vry","d699mu3616d-1w6h2ydzt9vry","Person","Châtillon, Louise Emmanuelle de (1763-1814)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvu8ye-g8ni57rlye6e","d-dv4qvu8ye-g8ni57rlye6e","Person","Chauliaguet, Philippe",,,,"Architecte de la ville de Saint-Flour. A œuvré à la restauration de la cathédrale de Saint-Flour.",,,,,
"agent/FRAN_RI_012-d699mu0h7r2--yxveyhcj2xkh","d699mu0h7r2--yxveyhcj2xkh","Person","Chavanes, Georges (1925-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0vj5n-ejzzylif1x2x","d699mu0vj5n-ejzzylif1x2x","Person","Chédeville, Esprit Philippe (1696-1762)",,,,,,,,,
"agent/FRAN_RI_012-d699mu53s1n-17zc7or2ij6","d699mu53s1n-17zc7or2ij6","Person","Chemetov, Paul (1928-....)",,,,,,,,"050740",
"agent/FRAN_RI_012-d-dv4qvuezo-1ipijwqm868yk","d-dv4qvuezo-1ipijwqm868yk","Person","Chenavard, Antoine Marie (1787-1883)",,"1787-04-03","1883-12-29","Né le 04/03/1787 à Lyon. Décédé le 29/12/1883 à Lyon. Architecte du département du Rhône et architecte diocésain. A œuvré à la restauration des cathédrales de Belley, Chalon-sur-Saône, Viviers, Autun.",,"Q15209896","https://fr.wikipedia.org/wiki/Antoine-Marie_Chenavard",,"https://data.bnf.fr/ark:/12148/cb13014926x#about"
"agent/FRAN_RI_012-d699mu2nggg--fg7422ftnotc","d699mu2nggg--fg7422ftnotc","Person","Chenot, Bernard (1909-1995)",,,,,,,,"051653",
"agent/FRAN_RI_012-d699mu5vqam--nhoghy1x6vuj","d699mu5vqam--nhoghy1x6vuj","Person","Chérèque, Jacques (1928-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4tn6j--79hd9kzjkv2a","d699mu4tn6j--79hd9kzjkv2a","Person","Cheron, Jean Nicolas (1685 ?-1757)",,,,,,,,,
"agent/FRAN_RI_012-d699mu16i4o--1h3jbajj4mrgw","d699mu16i4o--1h3jbajj4mrgw","Person","Cherubini, Luigi (1760-1842)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvulej--1gmeduu0nls2n","d-dv4qvulej--1gmeduu0nls2n","Person","Cheussey, François Auguste (1781-1857)",,"1781-07-31","1857-07-13","Né le 31/07/1781 à Sarrelouis. Décédé le 13/07/1857 à Amiens. Architecte. A œuvré à la restauration de la cathédrale d'Amiens.",,"Q1450803","https://fr.wikipedia.org/wiki/Fran%C3%A7ois-Auguste_Cheussey",,
"agent/FRAN_RI_012-d-dv4qvuqoo--1amc6u4an6036","d-dv4qvuqoo--1amc6u4an6036","Person","Chevalier, Théodore (1831-....)",,"1831-03-07",,"Né le 03/07/1831 à Angers. Architecte diocésain. A œuvré à la restauration de la cathédrale d'Alger.",,"Q26202594",,,
"agent/FRAN_RI_012-d699mtz3zq1-160v39q5vhilz","d699mtz3zq1-160v39q5vhilz","Person","Chevènement, Jean-Pierre (1939-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu29ws6--18uclk7ndywtg","d699mu29ws6--18uclk7ndywtg","Person","Chevillet, Charles (1642-1701)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvuxh4--7m1hjabem9fd","d-dv4qvuxh4--7m1hjabem9fd","Person","Chevillet, Georges Jean Baptiste",,,,"Architecte du département de la Drôme. A œuvré à la restauration de la cathédrale de Valence.",,,,,
"agent/FRAN_RI_012-d699mtzmwbt-9u3y55ghd402","d699mtzmwbt-9u3y55ghd402","Person","Chevotet, Jean-Michel (1698-1772)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0kjse-225xrqcuh17n","d699mu0kjse-225xrqcuh17n","Person","Chevreul, Michel-Eugène (1786-1889)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5v6vs--1p7ponbtu15xg","d699mu5v6vs--1p7ponbtu15xg","Person","Chevreuse, Charles Honoré d'Albert de Luynes (1646-1712 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzd83o-w2wyb4p6bnpk","d699mtzd83o-w2wyb4p6bnpk","Person","Chevreuse, Charles Marie Paul André d'Albert de Luynes (1783-1839 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu40919--t35tb18hdu7s","d699mu40919--t35tb18hdu7s","Person","Chézy, Antoine (1718-1798)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4goi5--ex03bmkqla8f","d699mu4goi5--ex03bmkqla8f","Person","Chirac, Jacques (1932-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5hmez-atd6cnv5j3nu","d699mu5hmez-atd6cnv5j3nu","Person","Choiseau, Antoine (....-1663)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3cu05-1la0l0r3qxln9","d699mu3cu05-1la0l0r3qxln9","Person","Choiseul, Etienne François de (1719-1785)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3opgn--1db1v02f7lj1a","d699mu3opgn--1db1v02f7lj1a","Person","Choiseul Du Plessis-Praslin, César de (1602-1675)",,,,,,,,,
"agent/FRAN_RI_012-d-66usdl72e--1049eyuc5i08v","d-66usdl72e--1049eyuc5i08v","Person","Choiseul-Gouffier, Marie-Gabriel-Florent-Auguste de (1752-1817)","Beaupré, Marie-Gabriel-Florent-Auguste de Choiseul- (1752-1817) | Choiseul, Comte de (1752-1817) | Choiseul-Beaupré, Marie-Gabriel-Florent-Auguste de (1752-1817) | Choiseul-Gouffier, Comte de (1752-1817) | Gouffier, Marie-Gabriel-Florent-Auguste de Choiseul- (1752-1817)","1752-09-27","1817-06-20","Ambassadeur à Constantinople (1784-1792). - Nommé membre du Conseil privé, ministre d'État et pair de France par Louis XVIII. - Membre de l'Académie des Inscriptions et belles-lettres (élu en 1779). Membre de l'Académie française (élu en 1783 ; réintégré en 1816). - Dessinateur. - Prend le nom de ""Choiseul-Gouffier"" après son mariage avec Adélaïde-Marie-Louise de Gouffier",,,,,
