"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Type de lieu (rico:hasOrHadPlaceType)","Description (rico:descriptiveNote)","Nom et id du lieu dans lequel le lieu-dit est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"place/FRAN_RI_005-d3m08zlzpl9-azl3yirncl7j","d3m08zlzpl9-azl3yirncl7j","Chelles (Seine-et-Marne, abbaye de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08ytj7wg--19q0rxa2nv0eb","d3m08ytj7wg--19q0rxa2nv0eb","Chenoise (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zsesrn-1txz7ig8pjp2l","d3m08zsesrn-1txz7ig8pjp2l","Chenonceau (Indre-et-Loire, château de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d3m08zp3otq-qmoubgcj31kl","d3m08zp3otq-qmoubgcj31kl","Cheverny (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d3m08yxjqyb-3wv9dtu0p2pe","d3m08yxjqyb-3wv9dtu0p2pe","Chevreuse (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08zxn6hd--k4atq9yv51ga","d3m08zxn6hd--k4atq9yv51ga","Chezal-Benoît (Cher, abbaye de)",,"aménagement ou construction",,"Cher (Centre, département) [d3ntb7g2gw--4rv27gfdzgqg]",,
"place/FRAN_RI_005-d3m08zr42pj-56qejkmnd7ot","d3m08zr42pj-56qejkmnd7ot","Chilly-Mazarin (Essonne, château de)",,"aménagement ou construction",,"Essonne (Ile-de-France, département) [d3ntb7nvrw--x5v56woc2tqj]",,
"place/FRAN_RI_005-d3m08zthn6k--2y0b3m2x01h","d3m08zthn6k--2y0b3m2x01h","Choisy-le-Roi (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08ypnbmo-c3jzej9n8rht","d3m08ypnbmo-c3jzej9n8rht","Cîteaux (Côte-d'Or, abbaye de)",,"aménagement ou construction",,"Côte-d'Or (Bourgogne, département) [d3ntb7heyx--g2riisb6ka8j]",,
"place/FRAN_RI_005-d3m08yvsujv-pcnpdqmhx0zp","d3m08yvsujv-pcnpdqmhx0zp","Cité radieuse (Marseille)",,"aménagement ou construction",,,,
"place/FRAN_RI_005-d3m08ykjbl0--scywpv86lq0l","d3m08ykjbl0--scywpv86lq0l","Clagny (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08zcdjgm-cf8pk5if6squ","d3m08zcdjgm-cf8pk5if6squ","Clairvaux (Aube, abbaye de)",,"aménagement ou construction",,"Aube (Champagne-Ardenne, département) [d3ntb7616w-1ulrt8mz7jar1]",,
"place/FRAN_RI_005-d-2q6cnkaks--rbph69leaoj6","d-2q6cnkaks--rbph69leaoj6","Clairvivre (Salagnac ; cité sanitaire)",,"cité sanitaire","La Fédération nationale des blessés du poumon et chirurgicaux, crée une cité sanitaire unique en son genre, devant correspondre aux critères de la cité-jardin, et permettant aux pensionnaires de mener une vie familiale et professionnelle tout en étant soignés. (Source : https://fr.wikipedia.org/wiki/Salagnac)","Salagnac (Dordogne) [d3ntg405wd--g102pz824db8]","https://sws.geonames.org/3024795/",
"place/FRAN_RI_005-d3m08zevj6q--1d8vkr68r6x4m","d3m08zevj6q--1d8vkr68r6x4m","Clermont (Mayenne, abbaye de)",,"aménagement ou construction",,"Mayenne (Pays-de-la-Loire, département) [d3ntb88sib--n92aramgtvqs]",,
"place/FRAN_RI_005-d3m08z1wt7y-p791t9qq5xh6","d3m08z1wt7y-p791t9qq5xh6","Clichy (Hauts-de-Seine, château de)",,"aménagement ou construction",,"Hauts-de-Seine (Ile-de-France, département) [d3ntb7xgvv-17sbqf1hi4qgj]",,
"place/FRAN_RI_005-d3m08zp1wnd--1h4mchamnc5dx","d3m08zp1wnd--1h4mchamnc5dx","Cluny (Saône-et-Loire, abbaye de)",,"aménagement ou construction",,"Saône-et-Loire (Bourgogne, département) [d3ntb8p5ms-l4smwbm63dp5]",,
"place/FRAN_RI_005-d3m08zvf04g--wiv8399jh38p","d3m08zvf04g--wiv8399jh38p","Coeuvres (Aisne, château de)",,"aménagement ou construction",,"Aisne (Picardie, département) [d3ntb70r2g--1uw0k9ewfsj4r]",,
"place/FRAN_RI_005-d3m08yumkxn-vxos06ijkb38","d3m08yumkxn-vxos06ijkb38","Compiègne (Oise, château de)",,"aménagement ou construction",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]",,
"place/FRAN_RI_005-d3m08yn3w0a--jqzye2dbvp2y","d3m08yn3w0a--jqzye2dbvp2y","Conflans (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08yjkezo-1nobxcya1z0iv","d3m08yjkezo-1nobxcya1z0iv","Corbie (Somme, abbaye de)",,"aménagement ou construction",,"Somme (Picardie, département) [d3ntb8u6x2-iq75f6vdwu0a]",,
"place/FRAN_RI_005-d3m08zkkn1v-6477qpfqgrpc","d3m08zkkn1v-6477qpfqgrpc","Corbigny (Nièvre, abbaye de)",,"aménagement ou construction",,"Nièvre (Bourgogne, département) [d3ntb8ej0i-1mhq8etaawzq8]",,
"place/FRAN_RI_005-d-2rxf9t1o9--1vk5d5r7jcx7l","d-2rxf9t1o9--1vk5d5r7jcx7l","Corde, pont de la (Henvic ; pont)",,"pont","Le pont de la Corde est un pont routier de type en poutre-caisson et qui permet la traversée de la Penzé à Henvic dans le Finistère et la desserte de Saint-Pol-de-Léon en venant de Morlaix par la D58. (Source : https://fr.wikipedia.org/wiki/Pont_de_la_Corde )","Henvic (Finistère) [d3ntgrrc3u--ezzawjqu5f76]","http://www.wikidata.org/entity/Q21041503","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d3m08zwagbo--b1iwgdibeha6","d3m08zwagbo--b1iwgdibeha6","Coulombs (Eure-et-Loir, abbaye de)",,"aménagement ou construction",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]",,
"place/FRAN_RI_005-d3m08yutvz9-15uurr4z1p1k1","d3m08yutvz9-15uurr4z1p1k1","Courances (Essonne, château de)",,"aménagement ou construction",,"Essonne (Ile-de-France, département) [d3ntb7nvrw--x5v56woc2tqj]",,
"place/FRAN_RI_005-d3m08zeluyx--so4j866tc3j2","d3m08zeluyx--so4j866tc3j2","Courcillon (Sarthe, château de)",,"aménagement ou construction",,"Sarthe (Pays-de-la-Loire, département) [d3ntb8ps1u-1d4qaxfwhbf8n]",,
"place/FRAN_RI_005-d3m08z4o0x6--13o5mnvzkcskd","d3m08z4o0x6--13o5mnvzkcskd","Cour-Dieu (Loiret, abbaye de la)",,"aménagement ou construction",,"Loiret (Centre, département) [d3ntb85kbl-a9i9f62vvrla]",,
"place/FRAN_RI_005-d3m08yxglnj--119tdy6x5zm60","d3m08yxglnj--119tdy6x5zm60","Creux (Allier, château du)",,"aménagement ou construction",,"Allier (Auvergne, département) [d3ntb713cs-uv28hws58a4c]",,
"place/FRAN_RI_005-d3m08ytf7pa-8pgpjlfbwny3","d3m08ytf7pa-8pgpjlfbwny3","Crussol (Ardèche, château de)",,"aménagement ou construction",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]",,
"place/FRAN_RI_005-d5bdpdi4ts-avb9s1jh8mpo","d5bdpdi4ts-avb9s1jh8mpo","Dachau (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-6fz9txb5z--1mefix1e1tv4x","d-6fz9txb5z--1mefix1e1tv4x","Dahouët (Pléneuf-Val-André ; port)",,"aménagement ou construction","Tye : port | Dahouët est un petit port breton situé sur la commune de Pléneuf-Val-André. (Source : https://fr.wikipedia.org/wiki/Dahou%C3%ABt)","Pléneuf-Val-André (Côtes-d'Armor) [d3ntfta6i3-t5om2f2kbwna]","http://www.wikidata.org/entity/Q3011978 | https://sws.geonames.org/3021919/",
"place/FRAN_RI_005-d3m08z1ycaa-psuthevpcgmy","d3m08z1ycaa-psuthevpcgmy","Dampierre-en-Yvelines (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08yvjk77-1nuv0igzxc171","d3m08yvjk77-1nuv0igzxc171","Digoine (Saône-et-Loire, château de)",,"aménagement ou construction",,"Saône-et-Loire (Bourgogne, département) [d3ntb8p5ms-l4smwbm63dp5]",,
"place/FRAN_RI_005-d-ajcv5onn1-1i3klvooihgwz","d-ajcv5onn1-1i3klvooihgwz","Donzère-Mondragon, canal de (France ; canal)",,"canal","Le canal de Donzère-Mondragon est un canal de dérivation du Rhône, situé dans le sud de la France. D'une longueur de 24 km, il se trouve entre les communes de Donzère dans la Drôme et de Mondragon en Vaucluse. (Source : https://fr.wikipedia.org/wiki/Canal_de_Donz%C3%A8re-Mondragon)","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q1032562 | https://sws.geonames.org/3021060/",
"place/FRAN_RI_005-d5bdpp3645--2x3o9tg6e7c1","d5bdpp3645--2x3o9tg6e7c1","Dora (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z8wqpj-cmyrng9fsvso","d3m08z8wqpj-cmyrng9fsvso","Ecouen (Val-d'Oise, château d')",,"aménagement ou construction",,"Val-d'Oise (Ile-de-France, département) [d3ntb8ynxv--18mkd7r455huc]",,
"place/FRAN_RI_005-d3m08z0rn7v--vk87da7rfyi8","d3m08z0rn7v--vk87da7rfyi8","Esquirol (Val-de-Marne, hôpital)","Charenton (Val-de-Marne , maison royale de santé de)","aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08ztfaem-2xb6trzin4w8","d3m08ztfaem-2xb6trzin4w8","Falaise (Calvados, château de)",,"aménagement ou construction",,"Calvados (Basse-Normandie, département) [d3ntb7e7v0--10ymhckkidpkv]",,
"place/FRAN_RI_005-d3m08z2qitv-af189aemjn8","d3m08z2qitv-af189aemjn8","Faremoutiers (Seine-et-Marne, abbaye de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08yrqm3h-1icopmr5cssj","d3m08yrqm3h-1icopmr5cssj","Ferrières (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d-3n2sugk4k--jcmx4sum1b0e","d-3n2sugk4k--jcmx4sum1b0e","Ferté, château de la (Saint-Ambreuil ; château)",,"château","Le château de la Ferté-Sur-Grosne est un château français situé sur la commune de Saint-Ambreuil en Saône-et-Loire, à proximité de la Grosne, est une ancienne abbaye cistercienne. La vocation initiale de cet édifice a été de servir, avant la Révolution française, de logis abbatial de l’abbaye de La Ferté, sa destination depuis cette époque et la disparition des édifices religieux permettent de le compter désormais parmi les châteaux de la région. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_la_Fert%C3%A9_de_Saint-Ambreuil )","Saint-Ambreuil (Saône-et-Loire) [d3nts4lv4v-u4dfpjxhlml8]","http://www.wikidata.org/entity/Q2052946","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zxyhbv-1im1tma9fn2i9","d3m08zxyhbv-1im1tma9fn2i9","Fleury-en-Bière (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08z16uax-1hktauz00mlqh","d3m08z16uax-1hktauz00mlqh","Fontaine-André (Suisse, abbaye de)",,"aménagement ou construction",,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zm7g31--hty5a326swqu","d3m08zm7g31--hty5a326swqu","Fontainebleau (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08ymxabf-1bgcrrmd4i6rg","d3m08ymxabf-1bgcrrmd4i6rg","Fontaine-Daniel (Mayenne, abbaye de)",,"aménagement ou construction",,"Mayenne (Pays-de-la-Loire, département) [d3ntb88sib--n92aramgtvqs]",,
"place/FRAN_RI_005-d3m08yxvchv-jhrd3ltkn0it","d3m08yxvchv-jhrd3ltkn0it","Fontevraud (Maine-et-Loire, abbaye de)",,"aménagement ou construction",,"Maine-et-Loire (Pays-de-la-Loire, département) [d3ntb8763b-1xnp7km7qrb2k]",,
"place/FRAN_RI_005-d3m08zk8otx--17qx591fmjvz","d3m08zk8otx--17qx591fmjvz","Fontfroide (Aude, abbaye de)",,"aménagement ou construction",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]",,
"place/FRAN_RI_005-d3m08yw2pi4--eyjx5xgemrtg","d3m08yw2pi4--eyjx5xgemrtg","Fontgombault (Indre, abbaye de)",,"aménagement ou construction",,"Indre (Centre, département) [d3ntb7ywek-1jk626ybdg665]",,
"place/FRAN_RI_005-d3m08z0bz3k--gwv3heqe2lou","d3m08z0bz3k--gwv3heqe2lou","Fontmorigny (Cher, abbaye de)",,"aménagement ou construction",,"Cher (Centre, département) [d3ntb7g2gw--4rv27gfdzgqg]",,
"place/FRAN_RI_005-d3m08zfz4jf-oz9iaw2h0ncy","d3m08zfz4jf-oz9iaw2h0ncy","Fortelle (Seine-et-Marne, château de la)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d-6j8v1yuon-1maoq28puhfry","d-6j8v1yuon-1maoq28puhfry","Fort la Latte (Plévenon ; château)",,"château","Fort la Latte aussi appelé château de la Roche Goyon, est un château fort situé sur la pointe de la Latte, près du cap Fréhel (Source : https://fr.wikipedia.org/wiki/Fort_la_Latte)","Plévenon (Côtes-d'Armor) [d3ntftg802--10qqoivctv6se]","http://www.wikidata.org/entity/Q747306",
"place/FRAN_RI_005-d-3t6fggwcl-g25lmpg47yt7","d-3t6fggwcl-g25lmpg47yt7","Fort Queyras (Château-Ville-Vieille ; château)",,"château",,"Château-Ville-Vieille (Hautes-Alpes) [d3ntda2ho6-igqmjmckmjjy]","http://www.wikidata.org/entity/Q3077998",
"place/FRAN_RI_005-d3m08z3et4v--4mx5kczk4aa7","d3m08z3et4v--4mx5kczk4aa7","Fougères (Ille-et-Vilaine, château de)",,"aménagement ou construction",,"Ille-et-Vilaine (Bretagne, département) [d3ntb7ykjq--tck4tl4rnvai]",,
"place/FRAN_RI_005-d3m08zuy6sz--1rxuufo86ncqu","d3m08zuy6sz--1rxuufo86ncqu","Froidmont (Oise, abbaye de)",,"aménagement ou construction",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]",,
"place/FRAN_RI_005-d-76zggs0zl--bn18vdwjhhm5","d-76zggs0zl--bn18vdwjhhm5","Garonne, canal latéral à la (France ; canal)",,"canal","Le canal de Garonne, également nommé canal latéral, a pour nom officiel canal latéral à la Garonne. C'est un canal français de petit gabarit datant du XIXe siècle qui relie Toulouse à Castets-en-Dorthe (Gironde) près de Bordeaux. (Source : https://fr.wikipedia.org/wiki/Canal_lat%C3%A9ral_%C3%A0_la_Garonne )","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q1032707",
"place/FRAN_RI_005-d3m08z3zts8--19e2m6yl0rzqb","d3m08z3zts8--19e2m6yl0rzqb","Gorze (Moselle, abbaye de)",,"aménagement ou construction",,"Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]",,
"place/FRAN_RI_005-d-6s87l9frb--9x70hdnpi91k","d-6s87l9frb--9x70hdnpi91k","Gourette (Eaux-Bonnes ; station de ski)",,"station de ski","Gourette est une station de sports d'hiver des Pyrénées françaises. (Source : https://fr.wikipedia.org/wiki/Gourette)","Eaux-Bonnes (Pyrénées-Atlantiques) [d3ntpo5byw-1s536t63tavyr]","http://www.wikidata.org/entity/Q1540224 | https://sws.geonames.org/3015533/",
"place/FRAN_RI_005-d3m08zlwdya-67rgloc0lf9v","d3m08zlwdya-67rgloc0lf9v","Grande-Romaine (Seine-et-Marne, château de la)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zcj3wx--kwcl4uviicw9","d3m08zcj3wx--kwcl4uviicw9","Grange-le-Roi (Seine-et-Marne, château de la)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zp99a1-g4lm55u7cgip","d3m08zp99a1-g4lm55u7cgip","Grignon (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08zzg2l4-41o0iue0bmxl","d3m08zzg2l4-41o0iue0bmxl","Grosbois (Val-de-Marne, château de)",,"château","Le château de Grosbois est situé dans le Val-de-Marne sur la commune de Boissy-Saint-Léger. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Grosbois)","Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2] | Boissy-Saint-Léger (Val-de-Marne) [d3ntxfbhlm-1qmdkj3pxa8n8]","http://www.wikidata.org/entity/Q1028251",
"place/FRAN_RI_005-d-13p814kqj--yf15boemr1ys","d-13p814kqj--yf15boemr1ys","Guétin, pont-canal du (Cher ; pont-canal)",,"pont-canal","Le pont-canal du Guétin est un pont-canal qui permet au canal latéral à la Loire de passer au-dessus de l'Allier, non loin de Nevers. (Source : https://fr.wikipedia.org/wiki/Pont-canal_du_Gu%C3%A9tin )","Cher (Centre, département) [d3ntb7g2gw--4rv27gfdzgqg]","http://www.wikidata.org/entity/Q2515286",
"place/FRAN_RI_005-d3m08zzm9mb--1xtaggrltn0ne","d3m08zzm9mb--1xtaggrltn0ne","Hardelot (Pas-de-Calais, château d')",,"aménagement ou construction",,"Pas-de-Calais (Nord-Pas-de-Calais, département) [d3ntb8idu2-z9ot230s6xja]",,
"place/FRAN_RI_005-d-1g85e4llk-1it62r57i7uhi","d-1g85e4llk-1it62r57i7uhi","Hardelot-Plage (Neufchâtel-Hardelot ; station balnéaire)",,"station balnéaire","Hardelot-Plage est une station balnéaire française, appartenant à la commune de Neufchâtel-Hardelot. (Source : https://fr.wikipedia.org/wiki/Hardelot-Plage)","Neufchâtel-Hardelot (Pas-de-Calais) [d3ntpdx01i--osxcd2fk8hzv]","http://www.wikidata.org/entity/Q3127367","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d-92hwn9rgm-etqt1bnab4z7","d-92hwn9rgm-etqt1bnab4z7","Hartmannswillerkopf (Haut-Rhin ; cimetière militaire)",,"cimetière militaire",,"Haut-Rhin (Alsace, département) [d3ntb7td0f--uft1tt83hfgx]","http://www.wikidata.org/entity/Q325716",
"place/FRAN_RI_005-d-3ax1qfh4k-q8yu5ks96z6b","d-3ax1qfh4k-q8yu5ks96z6b","Haut-Barr, château du (Saverne ; château)",,"château","Le château du Haut-Barr (en allemand Hohbarr) est un château médiéval en ruines situé sur la commune française de Saverne, dans le département du Bas-Rhin. Il fait l’objet d’un classement au titre des monuments historiques depuis octobre 1874. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_du_Haut-Barr )","Dettwiller (Bas-Rhin) [d3ntqsczcx-bqawjqwmfdtk]","http://www.wikidata.org/entity/Q1012393 | https://sws.geonames.org/10235442/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zsz6u4-188pdjn3r5aal","d3m08zsz6u4-188pdjn3r5aal","Hautecombe, abbaye d' (Saint-Pierre-de-Curtille ; abbaye)",,"abbaye","L'abbaye royale d'Hautecombe est une abbaye en activité située dans la commune de Saint-Pierre-de-Curtille. (Source : https://fr.wikipedia.org/wiki/Abbaye_d%27Hautecombe)","Saint-Pierre-de-Curtille (Savoie) [d3ntsfew91-1g8noen5erm]","http://www.wikidata.org/entity/Q63524 | https://sws.geonames.org/11154385/",
"place/FRAN_RI_005-d-1sv27uc3u--164nxiwvvf7if","d-1sv27uc3u--164nxiwvvf7if","Haut-Kœnigsbourg, château du (Orschwiller ; château)",,"aménagement ou construction","Le château du Haut-Kœnigsbourg est un château fort alsacien du xiie siècle, profondément remanié au xve siècle et restauré avant la Première Guerre mondiale sous Guillaume II2. Le château se dresse sur la commune française d'Orschwiller dans le département du Bas-Rhin. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_du_Haut-K%C5%93nigsbourg)","Orschwiller (Bas-Rhin) [d3ntqvis2f--14b5mm0d9wm30]","http://www.wikidata.org/entity/Q1552366 | https://sws.geonames.org/6545401/",
"place/FRAN_RI_005-d-8eyydofkm-1oqkic4ifw6vy","d-8eyydofkm-1oqkic4ifw6vy","Héaux de Bréhat, phare des (Pleubian ; phare)",,"phare","Construit par l’ingénieur Léonce Reynaud en 1840 sur les récifs des Épées de Tréguier, à la pointe du sillon de Talbert, le phare des Héaux de Bréhat signale l’extrémité ouest de la baie de Saint-Brieuc et balise l’entrée du chenal du Trieux vers l’île de Bréhat, dans les Côtes-d'Armor. (Source : https://fr.wikipedia.org/wiki/Phare_des_H%C3%A9aux_de_Br%C3%A9hat)","Pleubian (Côtes-d'Armor) [d3ntftd5mv-1ee5yq12hylrp]","http://www.wikidata.org/entity/Q2085022",
"place/FRAN_RI_005-d-94doy0dje-1qovyz9jyfocu","d-94doy0dje-1qovyz9jyfocu","Hohenbourg, abbaye de (Bas-Rhin ; abbaye)",,"abbaye","L'Abbaye de Hohenbourg fut fondée en 680 par sainte Odile. L'abbaye de Hohenbourg a été construite sur ce qu'on appelle maintenant le mont Sainte-Odile, éminence située dans l'actuelle commune d'Ottrott (Bas-Rhin, canton de Rosheim), à une altitude de 763 mètres. (Source : https://fr.wikipedia.org/wiki/Abbaye_de_Hohenbourg)","Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","http://www.wikidata.org/entity/Q2820602","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m08zi2ppb--1kkhl313bdocy","d3m08zi2ppb--1kkhl313bdocy","Huisseau-sur-Mauves (Loiret, château de)",,"aménagement ou construction",,"Loiret (Centre, département) [d3ntb85kbl-a9i9f62vvrla]",,
"place/FRAN_RI_005-d3m08z2glwa--1mfadxf7b9lfx","d3m08z2glwa--1mfadxf7b9lfx","Ile-Barbe (Rhône, abbaye de l')",,"aménagement ou construction",,"Rhône (Rhône-Alpes, département) [d3ntb8kmo4-14vv2fdq38hkk]",,
"place/FRAN_RI_005-d-3eqw5t0py--1th6klvibftd0","d-3eqw5t0py--1th6klvibftd0","Issan, château d' (Cantenac ; château)",,"château","Le château d'Issan, est un domaine viticole situé à Cantenac en Gironde. Son vin, produit sous l'appellation margaux, est classé troisième grand cru dans la classification officielle des vins de Bordeaux de 1855. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27Issan)","Cantenac (Gironde) [d3nthha4mv-ivqnvg20k5jq]","http://www.wikidata.org/entity/Q1090725","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yj3mgp-w79su05h8gkx","d3m08yj3mgp-w79su05h8gkx","Ivry-la-Bataille (Eure-et-Loir, abbaye d')",,"aménagement ou construction",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]",,
"place/FRAN_RI_005-d3m08zeo5rk--140ic4cb1xtsg","d3m08zeo5rk--140ic4cb1xtsg","Javarzay (Deux-Sèvres, château de)",,"aménagement ou construction",,"Deux-Sèvres (Poitou-Charentes, département) [d3ntb7jsrh-vfhddufur92k]",,
"place/FRAN_RI_005-d3m08yxrsjf--jzalcqe09fo4","d3m08yxrsjf--jzalcqe09fo4","Josaphat (Eure-et-Loir, abbaye de)",,"aménagement ou construction",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]",,
"place/FRAN_RI_005-d3m08zk6z15-1fronz81tk049","d3m08zk6z15-1fronz81tk049","Jouarre (Seine-et-Marne, abbaye de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08z65znb-dvx6x77hubft","d3m08z65znb-dvx6x77hubft","Jumièges (Seine-Maritime, abbaye de)",,"aménagement ou construction",,"Seine-Maritime (Haute-Normandie, département) [d3ntb8svpl-1sgeqirhtkz5g]",,
"place/FRAN_RI_005-d-3dqgptn1o-15aoqh61qfwbb","d-3dqgptn1o-15aoqh61qfwbb","Kerjean, château de (Saint-Vougay ; château)",,"château","Le château de Kerjean est un château sur la commune de Saint-Vougay, dans le département français du Finistère. Il est classé au titre des monuments historiques par arrêté du 29 avril 1911. Témoignage de la Bretagne prospère, la forteresse de Kerjean est un des plus beaux exemples d’architecture de style Renaissance du pays de Léon. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Kerjean)","Saint-Vougay (Finistère) [d3ntgtplp4-hv44vapdbwpq]","http://www.wikidata.org/entity/Q2969479","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d-3i1nh7pfa-ild385sgfqjv","d-3i1nh7pfa-ild385sgfqjv","Kerlevénan, château de (Sarzeau ; château)",,"château","Le château de Kerlevénan est situé sur la commune de Sarzeau, dans le département du Morbihan. Le château de Kerlevénan est construit à la fin du XVIIIe siècle, en 1780. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Kerlev%C3%A9nan )","Sarzeau (Morbihan) [d3ntlig9ed-164urxbfmwtam]","http://www.wikidata.org/entity/Q2969473","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yv07rl--awbgy06d9q11","d3m08yv07rl--awbgy06d9q11","L'Absie (Deux-Sèvres, abbaye de)",,"aménagement ou construction",,"Deux-Sèvres (Poitou-Charentes, département) [d3ntb7jsrh-vfhddufur92k]",,
"place/FRAN_RI_005-d3m08zi2z7l--1rlbkd2ndde8d","d3m08zi2z7l--1rlbkd2ndde8d","La Chaise-Dieu (Haute-Loire, abbaye de)",,"aménagement ou construction",,"Haute-Loire (Auvergne, département) [d3ntb7ud84-8g9dowx5rt99]",,
